"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","240","Verify customer details are returned successfully or handled gracefully","ParaBank Suite","2025-12-29","passed","2025-12-29","api.tests.GetCustomerTest","API Tests","api.tests.GetCustomerTest","testGetCustomerDetails"
"","879","Verify user can login successfully","ParaBank Suite","2025-12-29","passed","2025-12-29","uiTests.LoginTest","UI Tests","uiTests.LoginTest","validLoginTest"
"","750","Verify transfer funds returns correct negative behavior on public ParaBank","ParaBank Suite","2025-12-29","passed","2025-12-29","api.tests.TransferFundsTest","API Tests","api.tests.TransferFundsTest","testTransferFunds"
"","210","Verify delete customer returns correct negative behavior on public ParaBank","ParaBank Suite","2025-12-29","passed","2025-12-29","api.tests.DeleteCustomerTest","API Tests","api.tests.DeleteCustomerTest","testDeleteCustomer"
"","230","Verify accounts are returned or handled gracefully using client","ParaBank Suite","2025-12-29","passed","2025-12-29","api.tests.GetAccountsTest","API Tests","api.tests.GetAccountsTest","testGetAccountsByCustomerId"
"","512","Verify accounts endpoint directly using BaseAPI requestSpecification","ParaBank Suite","2025-12-29","passed","2025-12-29","api.tests.GetAccountsTest","API Tests","api.tests.GetAccountsTest","testGetAccounts"
